V,HS_ed,CN_ed,TARGET,SOURCE_ANNOTATOR,index,LO_MUSLIMS,LO_MIGRANTS,LO_WOMEN,LO_LGBT+,LO_JEWS
V1,"Juice (Jews) are worse that nukes. Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.",You'd rather be nuked then?,JEWS,SHUK_ORIGINAL,1.0,train,train,train,train,test
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,You seem to be worried about government expenditure& it has actually been shown that migration reduces pressure on government debt overtime  as they are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/ ,MIGRANTS,SHUK_ORIGINAL,2.0,excessive,excessive,excessive,excessive,excessive
V1,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,SHUK_ORIGINAL,3.0,train,train,train,train,test
V1,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different contries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism? ,JEWS,SHUK_ORIGINAL,4.0,train,train,train,train,test
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school? ,WOMEN,SHUK_ORIGINAL,5.0,train,train,test,train,train
V1,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for.  Would be beneficial for everyone to focus on stopping tax evasion instead.  ",MIGRANTS,SHUK_ORIGINAL,6.0,excessive,excessive,excessive,excessive,excessive
V1,"Race is a social construct, and if you see any difference between these two women, its because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, agreed.",POC,SHUK_ORIGINAL,7.0,train,train,train,train,train
V1,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,WOMEN,SHUK_ORIGINAL,8.0,train,train,test,train,train
V1,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions they would be just brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women. ,WOMEN,SHUK_ORIGINAL,9.0,train,train,test,train,train
V1,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Why is it you think women are jealous of men? What qualities do you value as a White Male?,WOMEN,SHUK_ORIGINAL,10.0,train,train,test,train,train
V1,Whats the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Whole lifetimes affected by cruelty - of course we shoudl be compassionate.,JEWS,SHUK_ORIGINAL,12.0,train,train,train,train,test
V1,We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'. ",WOMEN,SHUK_ORIGINAL,13.0,train,train,test,train,train
V1,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,SHUK_ORIGINAL,14.0,train,train,train,train,test
V1,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,SHUK_ORIGINAL,15.0,train,train,train,train,test
V1,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts? ,JEWS,SHUK_ORIGINAL,16.0,train,train,train,train,test
V1,"The Jews did:  USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,SHUK_ORIGINAL,17.0,train,train,train,train,test
V1,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this? ,JEWS,SHUK_ORIGINAL,18.0,train,train,train,train,test
V1,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this. ,JEWS,SHUK_ORIGINAL,19.0,train,train,train,train,test
V1,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think this? Do you have any facts to back this up? ,JEWS,SHUK_ORIGINAL,20.0,train,train,train,train,test
V1,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",What is the proof of this? Looks like assumptions as opposed to facts...,JEWS,SHUK_ORIGINAL,21.0,train,train,train,train,test
V1,"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,SHUK_ORIGINAL,24.0,train,train,train,test,train
V1,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,SHUK_ORIGINAL,25.0,validation,validation,test,train,train
