INDEX,LO_MUSLIMS,LO_MIGRANTS,LO_WOMEN,LO_LGBT+,LO_JEWS
1.0,train,train,train,train,test
3.0,train,train,train,train,test
4.0,train,train,train,train,test
5.0,train,train,test,train,train
7.0,train,train,train,train,train
8.0,train,train,test,train,train
9.0,train,train,test,train,train
10.0,train,train,test,train,train
12.0,train,train,train,train,test
13.0,train,train,test,train,train
14.0,train,train,train,train,test
15.0,train,train,train,train,test
16.0,train,train,train,train,test
17.0,train,train,train,train,test
18.0,train,train,train,train,test
19.0,train,train,train,train,test
20.0,train,train,train,train,test
21.0,train,train,train,train,test
24.0,train,train,train,test,train
25.0,validation,validation,test,train,train
27.0,train,train,train,test,train
28.0,train,train,test,validation,train
29.0,train,test,train,train,train
30.0,train,train,train,test,train
32.0,train,test,train,train,train
34.0,train,train,test,train,train
36.0,train,train,train,train,test
38.0,train,train,test,train,train
39.0,train,train,validation,train,test
40.0,validation,train,train,train,test
41.0,train,train,train,train,test
43.0,train,validation,train,train,test
44.0,train,train,train,validation,train
45.0,train,train,train,test,train
46.0,train,train,test,train,train
47.0,train,train,test,train,train
48.0,train,test,train,train,validation
49.0,train,train,train,test,train
51.0,train,train,train,test,train
52.0,validation,train,test,train,train
53.0,train,train,train,train,test
54.0,train,train,validation,train,test
55.0,train,validation,train,train,test
56.0,train,test,train,train,train
57.0,train,train,train,train,train
58.0,train,train,train,validation,test
59.0,train,train,train,test,train
60.0,train,train,train,train,test
61.0,train,train,train,test,train
62.0,train,train,train,train,test
63.0,train,train,train,test,train
64.0,train,train,validation,train,test
65.0,train,train,train,train,test
66.0,train,train,train,train,test
67.0,train,train,train,train,test
68.0,train,train,train,train,test
73.0,train,train,train,train,test
74.0,train,test,train,train,train
76.0,train,train,train,train,test
77.0,train,train,train,train,test
79.0,train,train,train,train,test
80.0,train,train,train,train,test
81.0,train,train,train,test,validation
82.0,train,train,train,train,test
83.0,train,train,train,test,train
84.0,train,test,train,train,train
85.0,train,train,train,train,test
86.0,train,test,train,train,train
87.0,train,test,train,train,train
89.0,train,train,test,train,train
90.0,train,train,test,train,train
91.0,train,train,train,train,test
94.0,validation,test,train,train,train
95.0,train,train,test,train,train
96.0,train,train,train,train,test
97.0,validation,train,train,train,test
98.0,train,train,test,train,train
99.0,train,train,train,test,validation
100.0,train,train,train,train,test
101.0,train,train,train,train,test
102.0,train,train,train,train,test
103.0,train,validation,test,train,train
104.0,train,test,train,train,train
105.0,train,test,train,train,train
106.0,train,train,train,validation,test
109.0,train,train,train,train,test
110.0,validation,validation,train,train,test
111.0,validation,train,test,validation,train
113.0,validation,train,train,train,test
115.0,train,train,train,train,test
116.0,train,train,validation,train,test
117.0,train,train,test,train,train
118.0,train,test,train,train,train
119.0,train,train,test,train,train
120.0,train,train,test,train,train
122.0,train,train,test,train,train
123.0,train,train,train,train,test
125.0,train,train,validation,test,train
126.0,train,validation,train,test,train
127.0,validation,validation,test,train,train
128.0,train,test,train,validation,train
129.0,train,test,train,validation,train
131.0,validation,validation,train,validation,test
133.0,train,train,train,train,test
134.0,train,train,test,train,train
135.0,train,train,test,train,train
136.0,train,train,train,train,test
137.0,train,train,train,train,test
138.0,train,train,train,train,test
139.0,train,train,train,test,train
140.0,validation,train,test,train,train
141.0,train,train,test,train,train
142.0,train,train,train,test,train
143.0,train,validation,validation,test,train
144.0,train,train,validation,train,test
145.0,train,train,validation,train,test
146.0,train,validation,train,validation,test
147.0,train,test,train,train,train
148.0,train,train,train,train,test
149.0,validation,train,train,test,train
150.0,train,test,train,validation,train
152.0,train,test,train,train,train
153.0,train,test,train,train,train
154.0,train,test,train,train,train
156.0,train,test,train,train,train
158.0,train,test,train,train,train
162.0,train,test,validation,train,train
164.0,validation,test,train,train,train
166.0,train,test,train,validation,train
167.0,train,test,validation,train,validation
171.0,test,train,train,train,train
174.0,train,train,train,train,test
175.0,train,train,train,train,test
176.0,train,train,train,train,test
177.0,validation,train,train,train,test
178.0,train,validation,train,train,test
179.0,train,train,train,train,test
180.0,validation,train,validation,validation,test
181.0,train,train,train,train,test
182.0,train,train,train,train,train
183.0,train,train,train,test,validation
184.0,train,train,train,train,test
185.0,train,train,train,test,train
186.0,train,train,train,train,test
188.0,train,validation,train,train,train
190.0,train,train,train,train,test
191.0,train,train,validation,train,test
192.0,train,train,train,validation,test
193.0,train,train,train,train,test
194.0,train,train,train,train,test
195.0,train,train,train,train,test
196.0,train,train,train,train,test
197.0,train,validation,train,train,test
198.0,train,train,train,validation,test
199.0,train,train,validation,train,test
200.0,train,train,train,train,test
201.0,validation,train,train,validation,test
202.0,train,train,train,train,test
203.0,train,validation,train,train,test
204.0,train,train,train,train,test
205.0,train,train,validation,train,test
206.0,train,validation,train,train,test
207.0,train,train,train,train,test
208.0,train,train,validation,train,test
209.0,train,train,train,train,test
210.0,train,train,train,train,test
211.0,train,train,train,train,test
212.0,train,train,train,train,test
213.0,train,train,train,train,test
214.0,train,train,train,train,test
215.0,validation,train,train,train,test
216.0,train,train,train,train,test
217.0,train,train,train,train,test
218.0,train,train,train,train,test
219.0,train,train,train,train,test
220.0,train,train,train,validation,test
221.0,train,train,train,train,test
222.0,train,train,train,train,test
223.0,train,train,train,train,test
224.0,train,train,train,train,test
225.0,train,validation,train,train,test
226.0,train,train,train,train,test
227.0,train,train,validation,train,test
228.0,train,train,train,train,test
229.0,train,train,train,train,test
230.0,train,train,train,train,test
231.0,train,train,train,train,test
232.0,train,train,train,train,test
233.0,train,train,train,train,test
234.0,train,train,train,validation,test
235.0,train,train,train,train,test
236.0,train,train,train,train,test
237.0,train,train,train,train,test
238.0,train,train,train,train,test
239.0,train,validation,train,train,test
240.0,train,train,train,train,test
241.0,train,train,validation,train,test
242.0,train,train,train,train,test
243.0,train,train,train,train,test
244.0,train,train,train,train,test
245.0,train,train,train,train,test
246.0,validation,train,train,train,test
247.0,validation,train,train,train,test
248.0,train,train,train,train,test
249.0,train,test,train,train,train
250.0,train,test,train,train,train
251.0,train,test,train,train,train
252.0,train,test,train,train,train
253.0,train,test,train,train,train
254.0,train,test,train,train,train
258.0,train,test,train,train,train
259.0,train,test,train,train,train
260.0,train,test,train,train,validation
262.0,validation,test,train,train,validation
264.0,train,train,train,train,test
265.0,train,train,train,train,test
266.0,validation,train,train,train,test
267.0,train,train,train,train,test
268.0,train,train,train,train,test
269.0,train,train,train,train,test
270.0,train,train,train,validation,test
271.0,train,train,train,validation,test
272.0,train,train,train,train,test
273.0,train,train,train,train,test
274.0,train,train,train,train,test
275.0,train,train,train,train,test
276.0,train,train,train,train,test
277.0,train,train,validation,train,test
278.0,train,train,validation,train,test
279.0,train,train,train,train,test
280.0,train,train,train,train,test
281.0,train,train,train,train,test
282.0,train,train,train,validation,test
283.0,train,train,train,train,test
284.0,train,train,train,train,test
285.0,train,validation,train,validation,test
286.0,train,validation,train,train,test
287.0,train,train,train,train,test
288.0,train,train,train,train,test
289.0,train,train,validation,train,test
290.0,train,train,train,train,test
291.0,train,train,train,train,test
292.0,train,train,validation,train,test
293.0,train,train,train,train,test
294.0,train,train,train,train,test
295.0,validation,train,train,train,test
296.0,train,train,train,train,test
297.0,train,validation,train,train,test
298.0,train,train,train,train,test
299.0,train,train,train,train,test
300.0,train,validation,train,train,test
301.0,train,train,train,train,test
302.0,train,test,train,train,validation
303.0,train,test,train,train,train
304.0,train,test,train,train,train
305.0,train,test,train,train,train
306.0,train,test,train,train,train
310.0,train,test,train,train,train
311.0,train,test,train,train,train
313.0,validation,test,train,train,train
314.0,train,test,train,train,train
315.0,train,test,train,train,train
316.0,train,test,train,train,train
317.0,train,test,train,train,validation
319.0,train,test,train,validation,train
321.0,train,test,train,train,train
322.0,train,test,train,train,validation
324.0,train,test,train,train,train
327.0,train,test,train,train,train
328.0,train,test,train,train,train
329.0,validation,test,train,train,train
331.0,train,test,validation,train,train
332.0,train,test,train,train,train
333.0,train,test,train,train,train
334.0,train,test,train,train,validation
336.0,train,test,train,train,train
337.0,validation,test,train,train,train
338.0,train,test,train,train,train
341.0,train,test,train,validation,train
342.0,validation,test,train,train,train
343.0,train,test,train,train,train
344.0,train,test,train,train,train
345.0,train,test,train,train,train
346.0,train,test,train,train,validation
347.0,train,test,train,train,train
348.0,validation,test,validation,train,train
349.0,train,test,train,train,train
351.0,train,test,train,train,train
353.0,train,test,train,train,train
354.0,train,test,train,validation,train
355.0,train,test,train,train,train
358.0,train,test,train,train,validation
360.0,train,test,train,train,train
361.0,train,test,train,train,train
362.0,validation,test,train,train,train
363.0,validation,test,train,validation,train
364.0,train,test,validation,train,train
368.0,train,test,train,train,validation
369.0,train,test,train,validation,train
371.0,train,test,train,train,train
372.0,train,test,train,train,validation
373.0,train,test,train,train,train
375.0,train,test,validation,train,train
376.0,train,test,train,train,train
377.0,train,test,train,validation,train
379.0,validation,test,validation,train,train
380.0,train,test,train,train,train
381.0,train,test,train,train,train
383.0,train,test,train,train,train
384.0,train,test,train,train,train
385.0,train,test,train,train,train
386.0,train,test,validation,train,train
387.0,validation,test,train,train,train
388.0,train,test,train,validation,train
391.0,train,test,train,validation,train
392.0,train,test,train,train,train
393.0,train,test,train,train,train
394.0,train,test,train,train,train
397.0,train,test,train,train,train
400.0,train,test,train,train,validation
401.0,validation,test,validation,train,train
402.0,train,test,validation,train,train
403.0,train,test,train,train,train
404.0,train,test,train,train,train
407.0,train,test,train,validation,train
409.0,train,test,train,train,train
410.0,train,test,train,train,train
411.0,train,test,train,train,train
413.0,train,test,train,train,train
414.0,validation,test,train,train,train
415.0,train,train,train,train,train
416.0,train,train,validation,validation,train
417.0,train,train,train,train,train
418.0,train,train,train,train,validation
419.0,validation,test,train,train,train
420.0,train,test,train,train,train
421.0,validation,test,train,train,train
422.0,train,test,train,train,train
424.0,train,test,validation,train,train
425.0,train,train,train,test,train
426.0,train,train,train,test,train
427.0,train,train,train,test,train
428.0,train,train,train,test,train
429.0,train,train,train,test,train
430.0,train,train,train,test,train
